TaskName,TrialID,TargetLocation,RoleA,B1_val_A,B2_val_A,B3_val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4
joint,201,1,Responder,1,3,5,Initiator,1,1,2,3,1,
joint,202,1,Responder,1,3,5,Initiator,1,1,3,2,1,
joint,203,1,Responder,1,5,3,Initiator,1,1,2,3,1,
joint,204,1,Responder,1,5,3,Initiator,0,1,3,1,2,
joint,205,1,Responder,3,1,5,Initiator,0,1,1,2,3,
joint,206,1,Responder,3,1,5,Initiator,0,1,3,1,2,
joint,207,1,Responder,2,1,3,Initiator,1,1,2,3,1,
joint,208,1,Responder,4,5,1,Initiator,1,1,3,2,1,
joint,209,1,Responder,6,3,5,Initiator,1,1,2,3,1,
joint,210,1,Responder,2,5,3,Initiator,0,1,1,2,3,
joint,211,1,Responder,1,2,3,Initiator,0,1,3,1,2,
joint,212,1,Responder,5,4,1,Initiator,0,1,1,2,3,
joint,213,2,Responder,2,4,5,Initiator,1,2,3,1,2,
joint,214,2,Responder,4,6,3,Initiator,1,2,1,3,2,
joint,215,2,Responder,6,2,1,Initiator,1,2,3,1,2,
joint,216,2,Responder,2,4,3,Initiator,0,2,2,3,1,
joint,217,2,Responder,3,6,2,Initiator,0,2,1,2,3,
joint,218,2,Responder,1,2,4,Initiator,0,2,2,3,1,
joint,219,2,Responder,1,3,5,Initiator,1,2,1,2,3,2
joint,220,2,Responder,1,3,5,Initiator,1,2,3,2,1,2
joint,221,2,Responder,1,5,3,Initiator,1,2,2,1,3,2
joint,222,2,Responder,1,5,3,Initiator,0,2,1,2,1,3
joint,223,2,Responder,3,1,5,Initiator,0,2,2,1,3,1
joint,224,2,Responder,3,1,5,Initiator,0,2,3,1,2,3
joint,225,3,Responder,3,6,5,Initiator,1,3,1,3,2,3
joint,226,3,Responder,1,4,5,Initiator,1,3,3,2,1,3
joint,227,3,Responder,1,5,2,Initiator,1,3,1,3,2,3
joint,228,3,Responder,5,3,4,Initiator,0,3,2,1,3,2
joint,229,3,Responder,3,1,6,Initiator,0,3,1,3,2,1
joint,230,3,Responder,5,3,6,Initiator,0,3,3,2,1,2
joint,231,3,Responder,5,6,2,Initiator,1,3,3,2,1,3
joint,232,3,Responder,5,4,6,Initiator,1,3,1,3,2,3
joint,233,3,Responder,6,1,4,Initiator,1,3,3,2,1,3
joint,234,3,Responder,2,5,6,Initiator,0,3,1,3,2,1
joint,235,3,Responder,4,3,2,Initiator,0,3,2,1,3,2
joint,236,3,Responder,4,1,6,Initiator,0,3,3,1,2,1
joint,237,1,Initiator,6,2,4,Responder,,,1,2,,
joint,238,1,Initiator,6,2,4,Responder,,,2,3,,
joint,239,1,Initiator,6,2,4,Responder,,,3,1,,
joint,240,1,Initiator,6,2,4,Responder,,,1,3,,
joint,241,1,Initiator,6,2,4,Responder,,,2,1,,
joint,242,1,Initiator,6,2,4,Responder,,,3,2,,
joint,243,1,Initiator,6,4,2,Responder,,,1,3,,
joint,244,1,Initiator,6,4,2,Responder,,,2,1,,
joint,245,1,Initiator,6,4,2,Responder,,,3,2,,
joint,246,1,Initiator,6,4,2,Responder,,,1,3,,
joint,247,1,Initiator,6,4,2,Responder,,,2,1,,
joint,248,1,Initiator,6,4,2,Responder,,,3,1,,
joint,249,2,Initiator,2,6,4,Responder,,,1,2,,
joint,250,2,Initiator,2,6,4,Responder,,,2,3,,
joint,251,2,Initiator,2,6,4,Responder,,,3,1,,
joint,252,2,Initiator,2,6,4,Responder,,,1,2,,
joint,253,2,Initiator,2,6,4,Responder,,,2,3,,
joint,254,2,Initiator,2,6,4,Responder,,,3,1,,
joint,255,2,Initiator,4,6,2,Responder,,,2,3,1,
joint,256,2,Initiator,4,6,2,Responder,,,3,2,1,
joint,257,2,Initiator,4,6,2,Responder,,,2,3,1,
joint,258,2,Initiator,4,6,2,Responder,,,3,1,2,
joint,259,2,Initiator,4,6,2,Responder,,,1,2,3,
joint,260,2,Initiator,4,6,2,Responder,,,3,1,2,
joint,261,3,Initiator,2,4,6,Responder,,,2,3,1,
joint,262,3,Initiator,2,4,6,Responder,,,3,2,1,
joint,263,3,Initiator,2,4,6,Responder,,,2,3,1,
joint,264,3,Initiator,2,4,6,Responder,,,1,2,3,
joint,265,3,Initiator,2,4,6,Responder,,,3,1,2,
joint,266,3,Initiator,2,4,6,Responder,,,1,2,3,
joint,267,3,Initiator,4,2,6,Responder,,,3,1,2,
joint,268,3,Initiator,4,2,6,Responder,,,1,3,2,
joint,269,3,Initiator,4,2,6,Responder,,,3,1,2,
joint,270,3,Initiator,4,2,6,Responder,,,2,3,1,
joint,271,3,Initiator,4,2,6,Responder,,,1,2,3,
joint,272,3,Initiator,4,2,6,Responder,,,2,3,1,
